Census Tract,2013-2017
36047003100,87209.05652
36047003300,120826.1774
36047003400,78688.60217
36047003500,80591.20811
36047003600,68384.77322
36047003700,138773.0404
36047003800,87640.12364
36047003900,110277.7714
36047004100,124141.2161
36047004300,122663.5628
36047004400,110187.0741
36047004500,148500.0751
36047004600,105728.6375
36047004700,109242.395
36047004900,128232.787
36047005000,106890.3787
36047005100,101695.1537
36047005201,31898.96686
36047005202,75495.85209
36047005300,95537.92548
36047005400,68293.05681
36047005601,77870.288
36047005602,68023.00294
36047005800,47881.06057
36047005900,72183.87067
36047006000,88455.3806
36047006200,64965.78933
36047006300,113435.8731
36047006400,73149.95018
36047006500,159700.6867
36047006600,64109.76951
36047006700,161210.9502
36047006800,46792.69253
36047006900,135026.9347
36047007000,51340.80731
36047007100,35381.13317
36047007200,36941.33119
36047007400,35514.6315
36047007500,157319.1173
36047007600,38852.0897
36047007700,138530.5015
36047007800,48042.07382
36047008000,60565.43986
36047008200,41629.05873
36047008400,50771.14651
36047008500,13458.87341
36047008600,0
36047008800,65471.24864
36047009000,39661.23223
36047009200,43926.04523
36047009400,42906.97402
36047009600,41354.92858
36047009800,39433.97935
36047010000,41718.737
36047010100,65844.22871
36047010200,54571.26303
36047010400,43511.28325
36047010600,41829.81576
36047010800,38767.50679
36047011000,56685.83579
36047011200,31246.76129
36047011400,44803.46553
36047011600,40762.8482
36047011700,93048.33453
36047011800,32199.59287
36047011900,93140.05093
36047012000,33331.78098
36047012100,103727.1817
36047012200,41844.08275
36047012600,48278.49834
36047012700,54260.44632
36047012801,37836.0757
36047012901,106320.7179
36047012902,112805.068
36047013000,62581.16271
36047013100,132638.2318
36047013200,54077.0135
36047013300,159451.0143
36047013400,76024.75004
36047013500,137101.7637
36047013600,70029.55414
36047013700,111161.3061
36047013800,57121.99826
36047013900,122879.6059
36047014000,72335.71228
36047014100,104796.1874
36047014200,59421.0229
36047014300,104424.2264
36047014500,74503.27674
36047014700,89351.14419
36047014800,57832.29089
36047014900,126393.3634
36047015000,77194.64379
36047015100,124791.3835
36047015200,85984.13293
36047015300,143943.8077
36047015400,0
36005036300,20190.85779
36005036400,65390.74202
36005036501,26650.75016
36005036502,28630.80551
36005036700,30641.433
36005036800,51317.36868
36005036901,19035.23104
36005036902,24839.86062
36005037000,46565.43965
36005037100,27175.57183
36005037200,48503.71308
36005037300,31517.83423
36005037400,28385.20935
36005037504,20968.40912
36005037600,54270.63703
36005037800,40516.23297
36005037900,28151.84204
36005038000,37482.458
36005038100,37703.59645
36005038200,51431.50465
36005038301,28848.88675
36005038302,22896.49184
36005038500,19528.4615
36005038600,63770.4188
36005038700,23822.82756
36005038800,58596.59429
36005038900,32673.46098
36005039000,35986.46147
36005039100,33649.73119
36005039200,41050.22628
36005039300,22063.91066
36005039400,32343.28191
36005039500,24315.03895
36005039600,40580.43446
36005039700,27963.31387
36005039800,77410.68688
36005039901,25845.6839
36005039902,33774.05788
36005040100,31803.17417
36005040302,28688.89257
36005040303,38927.50096
36005040304,23183.86992
36005040400,50246.32484
36005040501,36140.34122
36005040502,29298.29715
36005040600,49187.50986
36005040701,36467.46308
36005040702,34056.3406
36005040800,32877.27522
36005040900,47006.69748
36005041100,37380.55088
36005041300,47516.23308
36005041400,52414.90836
36005041500,51401.95159
36005041800,40974.81502
36005041900,34402.82481
36005042000,32016.16005
36005042100,32578.68736
36005042200,55741.15678
36005042300,35960.98469
36005042400,72767.79847
36005042500,27760.5187
36005042600,86468.19175
36005042800,71131.17012
36005042901,43437.91012
36005042902,27128.69455
36005043000,56249.67331
36005043100,30131.89739
36005043400,46495.12373
36005043500,41824.7204
36005043600,68841.31712
36005044200,53474.74242
36005044400,67452.32307
36005044800,91850.92586
36005044901,68652.78895
36005044902,69296.84195
36005045101,65036.10524
36005045102,67456.39935
36005045600,80768.5265
36005045800,24886.7379
36005046000,35471.83051
36005046201,47377.6394
36005046202,38154.02592
36005048400,76005.38769
36005050400,51378.51295
36005051600,89740.42939
36047000100,89920.805
36047000200,35597.17627
36047000301,132543.4582
36047000501,131569.2261
36047000502,108701.2682
36047000700,160538.3632
36047000900,164217.2103
36047001100,129142.8175
36047001300,114135.975
36047001500,104861.4079
36047001800,0
36047002000,65886.01062
36047002100,216205.1278
36047026200,50298.29747
36047026300,39367.73973
36047026400,46904.79036
36047026500,59720.62983
36047026600,47869.85079
36047026700,51780.027
36047026800,47431.65017
36047026900,63309.79862
36047027000,61899.40407
36047027100,41126.65663
36047027200,56284.32173
36047027300,46775.36832
36047027400,49679.72125
36047027500,74974.08763
36047027600,54839.27876
36047027700,41567.91446
36047027800,57686.56371
36047027900,59907.11986
36047028000,62600.52506
36047028100,27784.97641
36047028200,62889.94128
36047028300,35378.07596
36047028400,50138.30329
36047028501,93593.53762
36047028502,19209.49222
36047028600,41730.96585
36047028700,33968.70048
36047028800,48549.57128
36047028900,51044.25759
36047029000,50630.51468
36047029100,45353.76398
36047029200,47839.27865
36047029300,39311.69081
36047029400,52482.16706
36047029500,57926.04544
36047029600,54150.38663
36047029700,59576.94079
36047029800,56526.86068
36047029900,32562.38222
36047030000,51226.67134
36047030100,45767.50689
36047030200,57322.75529
36047030300,28921.2408
36047030400,43055.75842
36047030500,71462.36826
36047030600,47132.04324
36047030700,21279.22583
36047030800,46283.15692
36047030900,36775.22258
36047031100,51148.20286
36047031300,41950.06616
36047031400,60147.62067
36047031500,54584.51096
36047031701,57322.75529
36047031702,65455.96258
36047031900,48494.54144
36047032100,52606.49375
36047032300,67685.69037
36047032500,51051.39109
36047032600,24303.82917
36047032700,44791.23668
36047032800,56289.41709
36047032900,43440.96733
36047033000,28498.32625
36047033100,43247.3438
36047033300,50847.57685
36047033500,47259.42714
36047033600,78366.57567
36047033700,69055.32207
36047033900,37949.19261
36047034000,21109.04094
36047034100,52100.01536
36047034200,19947.29977
36047034300,28094.77405
36047034500,37245.0144
36047034700,36861.84363
36047034800,56526.86068
36047034900,34563.83806
36047035000,40284.90381
36047035100,33278.78927
36047035200,12536.61397
36047035300,49667.4924
36047035400,44607.80386
36047035500,47521.32844
36047035601,43974.96064
36047035602,37313.29218
36047035700,27897.07424
36047035900,30669.96699
36047036001,22164.79871
36047036002,18437.03624
36047036100,29512.3021
36047036200,31845.97516
36047036300,31667.6377
36047036400,54187.07319
36047036501,40687.43694
36047036502,37408.0658
36047036600,38127.53007
36047036700,51342.84546
36047036900,38195.80784
36047037000,64286.06883
36047037100,51729.07344
36061005501,163174.7004
36061005502,129895.9112
36061005600,126691.9513
36061005700,160173.5357
36061005800,187496.8729
36061005900,126221.1404
36061006000,125919.4953
36061006100,158934.3452
36061006200,107175.7186
36061006300,137077.3059
36061006400,108203.9615
36061006500,106374.7287
36061006600,69806.37755
36061006700,101571.8461
36061006800,126436.1644
36061006900,202424.2279
36061007000,104902.1708
36061007100,146197.9932
36061007200,110428.5939
36061007300,108553.5029
36061007400,138173.8266
36061007500,132401.8073
36061007600,91291.45577
36061007700,139338.6249
36061007800,121132.9179
36061007900,112651.1882
36061008000,121439.6583
36061008100,128020.8201
36061008200,134281.9936
36061008300,70810.16269
36061008400,135681.1784
36061008601,155021.1117
36061008602,0
36047015500,146380.407
36047015700,122565.732
36047015900,132500.6572
36047016000,65340.80753
36047016100,115601.3994
36047016200,77137.5758
36047016300,101843.9381
36047016400,92608.09577
36047016500,155044.5504
36047016600,104790.073
36047016700,144011.0664
36047016800,78795.60465
36047016900,84309.79894
36047017000,67778.42585
36047017100,116961.8594
36047017200,63382.15267
36047017400,102008.0086
36047017500,0
36047017600,60469.64717
36047017700,0
36047017800,61891.2515
36047017900,53262.77561
36047018000,67611.29818
36047018100,85582.61888
36047018200,61356.23912
36047018300,106183.1433
36047018400,81489.00985
36047018501,24730.82001
36047018600,67870.14226
36047018700,69806.37755
36047018800,65634.30004
36047019000,43708.98306
36047019100,87869.41466
36047019200,42232.34888
36047019300,55656.57387
36047019400,48540.39964
36047019500,80469.93864
36047019600,39716.26208
36047019700,92212.69614
36047019800,59870.4333
36047019900,84537.05182
36047020000,57747.70798
36047020100,96174.84498
36047020200,95856.89477
36047020300,105546.2238
36047020400,77440.23995
36047020500,85501.09318
36047020600,82874.94669
36047020700,115739.9931
36047020800,53683.65201
36047021000,38340.51595
36047021100,59971.32135
36047021200,41243.84981
36047021300,43290.14479
36047021400,55411.99678
36047021500,69151.11477
36047021600,43208.6191
36047021700,61367.4489
36047021800,33088.22296
36047021900,63815.25794
36047022000,32337.16748
36047022100,51395.83716
36047022200,36720.19273
36047022400,38534.13948
36047022600,47461.20324
36047022700,78008.88168
36047022800,33308.34234
36047022900,66173.3887
36047023000,38117.33936
36047023100,72545.64095
36047023200,37315.33032
36047023300,36623.38097
36047023400,28980.34693
36047023500,52663.56174
36047023600,24050.08044
36047023800,28940.60315
36047024000,31610.56971
36047024100,60938.41992
36047024200,62765.61459
36047024300,57115.88383
36047024400,53696.89994
36047024500,65220.55713
36047024600,46904.79036
36047024700,46641.86999
36047024800,51706.65388
36047024900,67722.37694
36047025000,53859.95133
36047025100,33956.47163
36047025200,48217.35407
36047025300,51767.79815
36047025400,47339.93376
36047025500,21172.22336
36047025600,50174.98986
36047025700,64222.88642
36047025800,42164.07111
36047025901,54044.40322
36047025902,16761.68318
36047026000,47556.99593
36047026100,43206.58095
36047037300,30975.68835
36047037401,46814.09302
36047037402,33881.06036
36047037500,38781.77378
36047037700,46559.32522
36047037900,37960.40239
36047038100,33561.072
36047038200,19567.18621
36047038300,69212.25904
36047038500,62093.0276
36047038600,58278.64408
36047038700,49186.49079
36047038800,63476.9263
36047038900,54966.66266
36047039000,65569.07948
36047039100,46884.40893
36047039200,42992.576
36047039300,57595.86637
36047039400,56734.7512
36047039500,47470.37488
36047039600,42996.65229
36047039700,39489.0092
36047039800,53016.16038
36047039900,41144.99991
36047040000,52823.55592
36047040100,45258.99036
36047040200,54284.90403
36047040300,36804.77564
36047040400,53438.05585
36047040500,62150.09559
36047040600,36984.13218
36047040700,0
36047040800,74845.68466
36047040900,48968.40955
36047041000,57004.80507
36047041100,36043.52945
36047041200,51146.16471
36047041300,39874.21811
36047041401,60189.40259
36047041402,47091.28039
36047041500,57610.13337
36047041600,47689.47519
36047041700,32960.83906
36047041800,35107.00302
36047041900,39255.64189
36047042000,55685.10786
36047042100,42036.68721
36047042200,61481.58488
36047042300,63946.71812
36047042400,50359.44174
36047042500,60483.91417
36047042600,48930.70391
36047042700,52830.68942
36047042800,53571.55418
36047042900,50116.9028
36047043000,38534.13948
36047043100,63819.33422
36047043200,50898.53041
36047043300,33119.81417
36047043400,53117.04842
36047043500,51590.47976
